2026-07-21 20:22:17 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (7.4ms)
2026-07-21 20:22:17 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:17 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (7.5ms)
2026-07-21 20:22:17 | INFO    | app.main | POST /api/log/frontend -> 200 (6.4ms)
2026-07-21 20:22:40 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:40 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:40 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (9.3ms)
2026-07-21 20:22:40 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (13.0ms)
2026-07-21 20:22:40 | INFO    | app.main | GET /api/dbs -> 200 (13.3ms)
2026-07-21 20:22:40 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:40 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (6.1ms)
2026-07-21 20:22:40 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:40 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (7.2ms)
2026-07-21 20:22:41 | INFO    | app.main | POST /api/log/frontend -> 200 (6.5ms)
2026-07-21 20:22:58 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:23:06 | INFO    | app.main | GET / -> 200 (1.4ms)
2026-07-21 20:23:06 | INFO    | app.main | GET /favicon.ico -> 404 (0.5ms)
2026-07-21 20:23:19 | INFO    | app.main | GET /api/dbs -> 200 (40.8ms)
2026-07-21 20:23:19 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:23:19 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.6ms)
2026-07-21 20:23:20 | INFO    | app.main | POST /api/log/frontend -> 200 (6.5ms)
2026-07-21 20:23:31 | INFO    | app.main | GET /api/dbs -> 200 (3.3ms)
2026-07-21 20:23:31 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:23:31 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.0ms)
2026-07-21 20:23:36 | INFO    | app.main | POST /api/log/frontend -> 200 (7.3ms)
2026-07-21 20:23:36 | INFO    | app.main | GET /api/dbs -> 200 (2.3ms)
2026-07-21 20:23:37 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:23:37 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.4ms)
2026-07-21 20:23:38 | INFO    | app.main | POST /api/log/frontend -> 200 (5.6ms)
2026-07-21 20:23:53 | INFO    | app.main | GET /api/dbs -> 200 (5.6ms)
2026-07-21 20:23:53 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:23:53 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (7.4ms)
2026-07-21 20:23:55 | INFO    | app.main | POST /api/log/frontend -> 200 (7.8ms)
2026-07-21 20:24:54 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=1
2026-07-21 20:24:54 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (22.0ms)
2026-07-21 20:24:56 | INFO    | app.main | POST /api/log/frontend -> 200 (5.8ms)
2026-07-21 20:24:58 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:24:58 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.8ms)
2026-07-21 20:25:00 | INFO    | app.main | POST /api/log/frontend -> 200 (6.2ms)
2026-07-21 20:25:02 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=0
2026-07-21 20:25:02 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (7.7ms)
2026-07-21 20:25:04 | INFO    | app.main | POST /api/log/frontend -> 200 (6.4ms)
2026-07-21 20:25:06 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:25:06 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.1ms)
2026-07-21 20:25:08 | INFO    | app.main | POST /api/log/frontend -> 200 (5.1ms)
2026-07-21 20:27:31 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:27:33 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:27:41 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:28:35 | INFO    | app.main | GET /api/dbs -> 200 (36.7ms)
2026-07-21 20:28:37 | INFO    | app.main | GET /api/dbs -> 200 (3.3ms)
2026-07-21 20:28:41 | INFO    | app.routers.rows | 覆盖新增 dashenlin: date=2099-01-01 删除了 0 条旧记录，准备插入新记录
2026-07-21 20:28:41 | INFO    | app.main | POST /api/dashenlin/rows/upsert_by_date -> 200 (19.7ms)
2026-07-21 20:28:44 | INFO    | app.main | DELETE /api/dashenlin/rows/5 -> 404 (2.6ms)
2026-07-21 20:28:57 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=100 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:28:57 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.1ms)
2026-07-21 20:29:18 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:29:54 | INFO    | app.routers.rows | 覆盖新增 dashenlin: date=2099-01-01 删除了 0 条旧记录，准备插入新记录
2026-07-21 20:29:54 | INFO    | app.main | POST /api/dashenlin/rows/upsert_by_date -> 200 (18.3ms)
2026-07-21 20:30:01 | INFO    | app.routers.rows | 覆盖新增 dashenlin: date=2099-01-01 删除了 1 条旧记录，准备插入新记录
2026-07-21 20:30:01 | INFO    | app.main | POST /api/dashenlin/rows/upsert_by_date -> 200 (10.7ms)
2026-07-21 20:30:08 | INFO    | app.main | DELETE /api/dashenlin/rows/7 -> 200 (2.2ms)
2026-07-21 20:30:08 | INFO    | app.main | DELETE /api/dashenlin/rows/6 -> 404 (1.4ms)
2026-07-21 20:30:13 | INFO    | app.main | GET /api/dbs -> 200 (23.0ms)
2026-07-21 20:30:14 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:30:14 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.5ms)
2026-07-21 20:30:15 | INFO    | app.main | POST /api/log/frontend -> 200 (6.6ms)
2026-07-21 20:31:36 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 20:34:10 | INFO    | app.main | GET /api/dbs -> 200 (69.3ms)
2026-07-21 20:34:10 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:34:10 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (10.9ms)
2026-07-21 20:34:12 | INFO    | app.main | POST /api/log/frontend -> 200 (12.8ms)
2026-07-21 20:34:23 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=- cities=- provinces=- -> total=4
2026-07-21 20:34:23 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.7ms)
2026-07-21 20:34:25 | INFO    | app.main | POST /api/log/frontend -> 200 (9.5ms)
2026-07-21 20:34:40 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=1128558 cities=广州 provinces=- -> total=0
2026-07-21 20:34:40 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.7ms)
2026-07-21 20:34:42 | INFO    | app.main | POST /api/log/frontend -> 200 (10.2ms)
2026-07-21 20:34:47 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=1128558 cities=广州 provinces=- -> total=0
2026-07-21 20:34:47 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.1ms)
2026-07-21 20:34:49 | INFO    | app.main | POST /api/log/frontend -> 200 (5.6ms)
